Checkpoint Number,Player,Computer,Gap
1,0.899,0.65,0,3
2,1.088,0.928,0,3
3,1.39,1.272,0,3
4,2.653,2.8,0,3
5,2.758,2.947,0,3
6,3.898,4.571,-1,3
7,4.126,4.979,-1,3
8,4.311,5.267,-1,3
9,4.753,6.139,-1,3
10,4.965,6.503,-2,3
11,5.369,6.903,-2,3
12,5.528,7.108,-2,3
13,5.994,7.765,-2,3
14,6.446,8.123,-2,3
15,6.711,8.469,-2,3
16,7.711,9.947,-2,3
17,7.936,10.203,-2,3
18,8.813,11.477,-3,3
19,8.979,11.795,-3,3
20,9.251,12.073,-3,3
21,10.101,13.212,-3,3
22,10.318,13.564,-3,3
23,10.653,14.154,-4,3
24,10.791,14.422,-4,3
25,12.111,16.416,-4,3
26,12.263,16.64,-4,3
27,12.969,N/A,N/A
28,13.324,N/A,N/A
29,13.589,N/A,N/A
30,14.241,N/A,N/A
31,14.41,N/A,N/A
