Checkpoint Number,Player,Computer,Gap
1,0.972,0.323,1,3
2,1.145,0.573,1,3
3,1.405,0.893,1,3
4,2.595,2.358,0,3
5,2.685,2.498,0,3
6,3.802,4.014,0,3
7,4.027,4.407,0,3
8,4.209,4.671,0,3
9,4.724,5.492,-1,3
10,4.923,5.814,-1,3
11,5.296,6.189,-1,3
12,5.504,6.396,-1,3
13,6.011,7.009,-1,3
14,6.424,7.328,-1,3
15,6.626,7.661,-1,3
16,7.597,8.959,-1,3
17,7.791,9.178,-1,3
18,8.649,10.261,-2,3
19,8.815,10.572,-2,3
20,9.24,10.821,-2,3
21,10.02,11.892,-2,3
22,10.247,12.204,-2,3
23,10.535,12.733,-2,3
24,10.645,12.956,-2,3
25,11.97,14.248,-2,3
26,12.117,14.42,-2,3
27,12.944,15.106,-2,3
28,13.367,15.449,-2,3
29,13.632,15.807,-2,3
30,14.288,16.745,-2,3
31,14.466,16.861,-2,3
