Checkpoint Number,Player,Computer,Gap
1,0.869,0.645,0,3
2,1.117,0.924,0,3
3,1.592,1.24,0,3
4,2.765,2.751,0,3
5,2.865,2.9,0,3
6,3.906,4.457,-1,3
7,4.162,4.855,-1,3
8,4.335,5.126,-1,3
9,4.878,5.968,-1,3
10,5.061,6.318,-1,3
11,5.457,6.723,-1,3
12,5.62,6.921,-1,3
13,6.128,7.576,-1,3
14,6.241,7.946,-2,3
15,9.646,8.288,1,3
16,10.663,9.774,1,3
17,10.865,10.016,1,3
18,11.688,11.267,0,3
19,11.862,11.56,0,3
20,12.069,11.833,0,3
21,12.955,12.933,0,3
22,13.179,13.267,0,3
23,13.429,13.847,0,3
24,13.556,14.093,-1,3
25,16.157,16.066,0,3
26,16.328,16.302,0,3
27,17.144,17.277,0,3
28,17.366,17.649,0,3
29,19.182,18.049,1,3
30,19.86,18.995,1,3
31,20.03,19.12,1,3
