Checkpoint Number,Player,Computer,Gap
1,0.948,0.637,0,3
2,1.122,0.922,0,3
3,1.381,1.268,0,3
4,2.591,2.827,0,3
5,2.692,2.982,0,3
6,3.774,4.621,-1,3
7,4.025,5.041,-1,3
8,4.197,5.327,-1,3
9,4.701,6.2,-1,3
10,4.889,6.56,-2,3
11,5.288,6.987,-2,3
12,5.53,7.19,-2,3
13,6.04,7.877,-2,3
14,6.297,8.215,-2,3
15,6.505,8.564,-2,3
16,7.478,10.111,-3,3
17,7.62,10.353,-3,3
18,8.525,11.67,-3,3
19,8.679,12.017,-3,3
20,8.945,12.275,-3,3
21,9.828,13.438,-4,3
22,10.048,13.787,-4,3
23,10.301,14.405,-4,3
24,10.429,14.661,-4,3
25,11.738,16.722,-5,3
26,11.884,16.985,-5,3
27,20.364,18.005,2,3
28,20.75,18.373,2,3
29,21.063,18.775,2,3
30,21.726,19.742,2,3
31,21.892,19.91,2,3
