Checkpoint Number,Player,Computer,Gap
1,3.69,0.324,3,3
2,3.94,0.584,3,3
3,12.645,0.924,12,3
4,14.181,2.454,12,3
5,14.296,2.816,11,3
6,15.689,6.048,10,3
7,15.985,6.948,9,3
8,16.214,7.505,9,3
9,16.895,9.046,8,3
10,17.139,9.741,7,3
11,17.654,10.497,7,3
12,17.898,10.909,7,3
13,18.504,12.093,6,3
14,18.83,12.743,6,3
15,19.106,13.406,6,3
16,20.267,16.151,4,3
17,20.525,16.613,4,3
18,21.619,18.973,3,3
19,21.848,19.547,2,3
20,23.126,20.058,3,3
21,24.276,21.848,2,3
22,24.551,22.516,2,3
23,24.943,23.594,1,3
24,25.12,24.016,1,3
25,26.692,26.141,1,3
26,26.853,26.583,0,3
27,27.754,27.551,0,3
28,28.211,27.893,0,3
29,28.5,28.33,0,3
30,29.301,29.301,0,3
31,29.496,29.431,0,3
