Checkpoint Number,Player,Computer,Gap
1,2.15,0.414,2,3
2,3.403,0.667,3,3
3,3.882,1.0,3,3
4,7.701,2.613,5,3
5,7.86,2.925,5,3
6,16.837,5.26,12,3
7,20.745,6.049,15,3
8,20.992,6.613,14,3
9,24.046,8.279,16,3
10,24.806,9.026,16,3
11,28.691,9.855,19,3
12,31.093,10.31,21,3
13,36.062,11.602,24,3
14,39.599,12.3,27,3
15,41.887,13.017,29,3
16,45.666,16.047,30,3
17,46.843,16.552,30,3
18,48.448,19.115,29,3
19,50.768,19.724,31,3
20,51.471,20.301,31,3
21,55.19,22.531,33,3
22,57.355,23.252,34,3
23,57.743,24.478,33,3
24,57.888,24.93,33,3
25,61.921,28.898,33,3
26,64.78,29.393,35,3
27,68.352,31.418,37,3
28,68.765,32.173,37,3
29,71.78,32.938,39,3
30,72.657,34.871,38,3
31,72.89,35.148,38,3
