Checkpoint Number,Player,Computer,Gap
1,1.698,0.401,1,3
2,1.922,0.698,1,3
3,2.43,1.051,1,3
4,4.09,2.711,1,3
5,4.23,2.883,1,3
6,5.709,4.57,1,3
7,6.128,4.971,1,3
8,6.43,5.571,1,3
9,7.191,6.725,0,3
10,7.445,7.124,0,3
11,8.027,7.555,0,3
12,8.4,7.747,1,3
13,9.043,8.449,1,3
14,9.611,8.795,1,3
15,9.937,9.151,1,3
16,11.168,10.744,0,3
17,11.346,10.995,0,3
18,12.538,12.308,0,3
19,12.773,12.618,0,3
20,13.369,12.894,0,3
21,14.416,14.122,0,3
22,14.705,14.45,0,3
23,15.102,15.035,0,3
24,15.263,15.323,0,3
25,16.972,17.291,0,3
26,17.152,17.529,0,3
27,18.228,18.575,0,3
28,18.725,18.949,0,3
29,19.128,19.451,0,3
30,19.992,20.482,0,3
31,20.202,20.609,0,3
