Checkpoint Number,Player,Computer,Gap
1,6.011,5.279,0.732
2,6.458,6.107,0.351
3,6.77,6.737,0.033
4,8.964,9.091,-0.127
5,9.381,9.577,-0.196
6,9.513,9.812,-0.299
7,11.394,11.876,-0.482
8,13.794,14.347,-0.553
9,14.315,14.916,-0.601
10,14.781,15.452,-0.671
11,15.352,15.487,-0.135
12,15.745,15.954,-0.209
13,16.122,16.384,-0.262
14,16.255,16.559,-0.304
15,17.889,18.185,-0.296
16,18.317,18.714,-0.397
17,21.299,21.454,-0.155
18,23.085,21.978,1.107
19,25.961,22.386,3.575
20,26.189,22.701,3.488
21,26.78,25.333,1.447
22,28.81,26.514,2.296
23,29.383,27.779,1.604
24,29.686,29.417,0.269
25,30.386,29.549,0.837
26,30.923,30.191,0.732
27,31.414,30.224,1.19
28,31.672,31.447,0.225
29,32.979,31.963,1.016
30,33.34,32.192,1.148
31,33.566,37.781,-4.215
32,33.664,38.148,-4.484
33,38.277,38.73,-0.453
34,38.602,39.699,-1.097
35,39.021,40.223,-1.202
36,40.0,40.682,-0.682
37,40.484,41.327,-0.843
38,40.935,41.867,-0.932
39,41.515,42.455,-0.94
40,42.196,42.587,-0.391
41,42.78,N/A,N/A
42,43.011,N/A,N/A
