Checkpoint Number,Player,Computer,Gap
1,6.009,4.836,1.173
2,9.611,6.349,3.262
3,10.402,8.302,2.1
4,11.141,10.101,1.04
5,11.714,11.524,0.19
6,12.076,12.1,-0.024
7,14.926,12.639,2.287
8,15.129,12.928,2.201
9,16.359,14.293,2.066
10,16.933,15.615,1.318
11,17.188,16.577,0.611
12,17.339,17.113,0.226
13,17.794,17.464,0.33
14,18.893,18.174,0.719
15,20.264,19.83,0.434
16,21.401,21.376,0.025
17,21.913,21.995,-0.082
18,23.349,23.475,-0.126
19,24.518,23.969,0.549
20,25.096,24.812,0.284
21,30.362,25.296,5.066
22,30.777,25.824,4.953
23,31.497,27.638,3.859
24,33.128,31.135,1.993
25,33.617,32.323,1.294
26,35.467,35.67,-0.203
27,36.068,36.256,-0.188
28,45.054,39.135,5.919
29,45.671,41.513,4.158
30,45.98,42.313,3.667
31,46.613,43.474,3.139
32,48.613,47.776,0.837
33,50.584,51.51,-0.926
34,51.296,52.271,-0.975
35,54.834,54.92,-0.086
36,54.999,55.025,-0.026
