Checkpoint Number,Player,Computer,Gap
1,5.112,4.674,0.438
2,5.23,4.945,0.285
3,5.277,5.146,0.131
4,5.292,5.197,0.095
5,6.766,5.292,1.474
6,13.395,6.705,6.69
7,13.475,6.878,6.597
8,14.702,9.784,4.918
9,14.858,9.967,4.891
10,15.066,10.379,4.687
11,15.192,10.678,4.514
12,15.543,10.81,4.733
13,15.785,11.381,4.404
14,16.065,12.146,3.919
15,16.265,12.708,3.557
16,16.359,13.011,3.348
17,16.372,13.137,3.235
18,16.625,13.395,3.23
19,16.722,13.833,2.889
20,17.293,14.687,2.606
21,17.614,14.939,2.675
22,17.691,15.511,2.18
23,17.959,15.685,2.274
24,18.045,15.735,2.31
25,18.343,17.912,0.431
26,19.288,18.357,0.931
27,19.487,18.409,1.078
28,19.533,19.303,0.23
29,20.257,19.596,0.661
30,20.413,19.736,0.677
31,20.526,19.988,0.538
32,20.854,20.227,0.627
33,21.045,20.336,0.709
34,21.124,20.666,0.458
35,21.301,21.283,0.018
36,21.594,21.465,0.129
37,22.112,21.815,0.297
38,22.252,22.252,0.0
39,22.497,22.384,0.113
40,22.926,22.443,0.483
41,23.055,24.035,-0.98
42,23.104,24.271,-1.167
43,24.472,24.335,0.137
44,24.721,25.355,-0.634
45,24.81,25.616,-0.806
46,25.969,25.674,0.295
47,26.131,25.91,0.221
48,26.193,26.0,0.193
49,26.489,26.964,-0.475
50,26.914,27.102,-0.188
51,27.694,N/A,N/A
52,27.92,N/A,N/A
