Checkpoint Number,Player,Computer,Gap
1,5.945,5.145,0.8
2,5.976,5.179,0.797
3,6.525,6.427,0.098
4,7.231,7.353,-0.122
5,9.515,9.68,-0.165
6,10.372,10.562,-0.19
7,10.787,10.979,-0.192
8,11.157,11.379,-0.222
9,12.017,12.28,-0.263
10,12.496,12.872,-0.376
11,13.326,13.549,-0.223
12,13.947,14.298,-0.351
13,14.685,15.066,-0.381
14,14.877,15.397,-0.52
15,18.167,18.708,-0.541
16,18.931,19.322,-0.391
17,19.961,19.542,0.419
18,20.57,20.153,0.417
19,24.683,23.95,0.733
20,25.27,24.922,0.348
21,26.468,25.336,1.132
22,28.976,28.383,0.593
23,29.335,29.238,0.097
24,30.011,29.692,0.319
25,33.254,33.442,-0.188
26,34.163,34.135,0.028
27,35.242,35.305,-0.063
28,36.119,35.826,0.293
29,38.459,38.592,-0.133
30,39.301,39.507,-0.206
31,N/A,40.039,N/A
