Checkpoint Number,Player,Computer,Gap
1,6.648,5.943,0.705
2,7.191,7.064,0.127
3,9.46,9.687,-0.227
4,10.046,10.497,-0.451
5,10.784,11.167,-0.383
6,11.364,11.952,-0.588
7,12.279,12.802,-0.523
8,12.935,13.589,-0.654
9,13.622,14.279,-0.657
10,14.346,15.372,-1.026
11,15.281,15.956,-0.675
12,16.219,16.155,0.064
13,16.583,16.713,-0.13
14,17.327,17.233,0.094
15,17.696,17.762,-0.066
16,18.481,18.207,0.274
17,18.753,18.518,0.235
18,19.912,18.91,1.002
19,20.36,19.78,0.58
20,21.255,20.672,0.583
21,21.68,21.45,0.23
22,22.617,21.748,0.869
23,25.942,26.903,-0.961
24,27.445,28.066,-0.621
25,28.29,28.868,-0.578
26,28.804,29.157,-0.353
27,30.275,29.71,0.565
28,30.74,30.412,0.328
29,31.194,31.034,0.16
30,32.341,31.461,0.88
31,32.716,32.05,0.666
32,N/A,33.48,N/A
