Checkpoint Number,Player,Computer,Gap
1,8.228,7.817,0.411
2,8.721,8.62,0.101
3,9.34,9.014,0.326
4,9.727,9.498,0.229
5,11.476,10.729,0.747
6,12.017,11.797,0.22
7,13.268,12.944,0.324
8,14.326,13.615,0.711
9,15.804,15.422,0.382
10,16.578,16.543,0.035
11,17.434,17.18,0.254
12,20.085,19.404,0.681
13,21.378,20.958,0.42
14,22.804,21.84,0.964
15,24.31,24.606,-0.296
16,25.256,25.548,-0.292
17,26.34,26.34,0.0
18,27.37,27.017,0.353
19,31.052,30.596,0.456
20,31.866,31.804,0.062
21,38.281,38.281,0.0
22,39.028,38.93,0.098
23,41.026,40.584,0.442
24,41.852,41.822,0.03
25,41.882,41.914,-0.032
26,43.004,42.623,0.381
27,46.342,46.277,0.065
28,N/A,49.375,N/A
