Checkpoint Number,Player,Computer,Gap
1,5.827,5.112,0.715
2,6.402,6.142,0.26
3,6.605,6.549,0.056
4,6.867,6.867,0.0
5,9.499,9.845,-0.346
6,10.287,10.493,-0.206
7,11.154,11.465,-0.311
8,11.492,11.816,-0.324
9,14.509,15.403,-0.894
10,15.519,16.008,-0.489
11,16.237,16.829,-0.592
12,16.591,17.229,-0.638
13,19.923,20.668,-0.745
14,21.362,21.988,-0.626
15,22.679,23.058,-0.379
16,27.45,28.179,-0.729
17,27.969,28.661,-0.692
18,28.361,29.063,-0.702
19,29.474,29.929,-0.455
20,30.221,30.772,-0.551
21,30.679,31.559,-0.88
22,31.589,32.305,-0.716
23,32.222,33.218,-0.996
24,32.957,34.187,-1.23
25,34.302,35.233,-0.931
26,34.826,35.647,-0.821
27,35.087,35.914,-0.827
28,37.011,37.187,-0.176
29,37.483,37.797,-0.314
30,37.741,38.395,-0.654
31,38.241,38.944,-0.703
32,40.82,41.745,-0.925
33,41.315,42.028,-0.713
