Checkpoint Number,Player,Computer,Gap
1,8.126,5.046,3.08
2,8.247,5.415,2.832
3,8.295,5.781,2.514
4,8.311,5.902,2.409
5,8.431,6.191,2.24
6,10.054,8.855,1.199
7,10.198,9.06,1.138
8,15.99,12.424,3.566
9,16.249,12.633,3.616
10,16.433,13.07,3.363
11,16.57,13.395,3.175
12,16.832,13.523,3.309
13,17.099,14.135,2.964
14,17.382,14.925,2.457
15,17.586,15.545,2.041
16,17.713,15.834,1.879
17,17.735,15.969,1.766
18,17.983,16.249,1.734
19,18.097,16.709,1.388
20,18.676,17.586,1.09
21,19.001,17.889,1.112
22,19.077,18.54,0.537
23,19.31,18.725,0.585
24,19.386,18.776,0.61
25,19.72,20.075,-0.355
26,20.686,20.313,0.373
27,20.891,20.359,0.532
28,20.937,21.286,-0.349
29,21.709,21.47,0.239
30,21.849,21.608,0.241
31,21.967,21.849,0.118
32,22.266,22.072,0.194
33,22.471,22.16,0.311
34,22.56,22.502,0.058
35,22.855,23.139,-0.284
36,23.125,23.302,-0.177
37,23.609,23.638,-0.029
38,23.742,24.041,-0.299
39,24.01,24.158,-0.148
40,24.385,24.222,0.163
41,24.49,25.733,-1.243
42,24.522,25.943,-1.421
43,25.942,25.987,-0.045
44,26.117,26.792,-0.675
45,26.176,27.01,-0.834
46,27.142,27.054,0.088
47,27.316,27.256,0.06
48,27.363,27.316,0.047
49,38.728,28.385,10.343
50,42.171,28.637,13.534
51,47.217,N/A,N/A
52,47.476,N/A,N/A
