Checkpoint Number,Player,Computer,Gap
1,32.592,5.357,27.235
2,32.624,6.766,25.858
3,46.863,11.104,35.759
4,47.383,12.435,34.948
5,48.495,13.532,34.963
6,48.943,14.678,34.265
7,50.134,16.264,33.87
8,50.586,17.663,32.923
9,51.386,18.464,32.922
10,52.756,19.963,32.793
11,53.206,21.354,31.852
12,55.965,27.324,28.641
13,56.429,28.411,28.018
14,57.906,31.876,26.03
15,57.937,31.908,26.029
16,58.204,32.524,25.68
17,58.562,33.387,25.175
18,59.852,36.375,23.477
19,60.272,37.437,22.835
20,62.021,41.387,20.634
21,62.523,42.614,19.909
22,63.512,44.219,19.293
23,64.136,46.19,17.946
24,65.522,49.132,16.39
25,65.965,50.26,15.705
26,67.017,51.859,15.158
27,67.866,54.496,13.37
28,70.176,59.722,10.454
29,N/A,60.622,N/A
