Checkpoint Number,Player,Computer,Gap
1,8.906,8.445,0.461
2,9.24,9.109,0.131
3,10.412,10.512,-0.1
4,10.936,11.154,-0.218
5,11.561,11.313,0.248
6,12.188,12.156,0.032
7,13.459,13.754,-0.295
8,13.919,14.349,-0.43
9,15.863,16.291,-0.428
10,16.353,17.028,-0.675
11,16.927,17.195,-0.268
12,18.877,19.126,-0.249
13,19.477,19.925,-0.448
14,20.274,20.649,-0.375
15,24.452,25.033,-0.581
16,25.365,25.698,-0.333
17,25.596,26.26,-0.664
18,28.405,26.988,1.417
19,31.22,31.594,-0.374
20,31.948,32.456,-0.508
21,34.64,35.103,-0.463
22,35.136,35.736,-0.6
23,36.254,36.379,-0.125
24,36.732,36.963,-0.231
25,38.249,38.347,-0.098
26,38.798,39.162,-0.364
27,39.583,39.649,-0.066
28,39.914,40.009,-0.095
29,42.011,42.172,-0.161
30,42.58,42.876,-0.296
31,43.434,43.764,-0.33
32,46.128,46.553,-0.425
