Checkpoint Number,Player,Computer,Gap
1,7.787,7.479,0,3
2,8.08,8.021,0,3
3,9.193,9.299,0,3
4,9.684,9.895,0,3
5,10.308,10.041,0,3
6,10.876,10.789,0,3
7,11.976,12.216,0,3
8,12.41,12.698,0,3
9,14.119,14.455,0,3
10,14.569,14.981,0,3
11,14.715,15.123,0,3
12,16.404,16.734,0,3
13,16.901,17.374,0,3
14,17.629,17.953,0,3
15,21.01,21.726,-1,3
16,21.666,22.252,-1,3
17,22.159,22.735,-1,3
18,22.852,23.339,0,3
19,25.297,25.944,-1,3
20,25.944,26.444,0,3
21,28.206,28.77,-1,3
22,28.653,29.32,-1,3
23,29.436,29.792,0,3
24,29.879,30.31,0,3
25,30.993,31.416,0,3
26,31.53,31.946,0,3
27,32.145,32.326,0,3
28,32.409,32.633,0,3
29,34.38,34.557,0,3
30,34.925,35.102,0,3
31,35.682,35.953,0,3
32,37.879,38.356,0,3
