Checkpoint Number,Player,Computer,Gap
1,5.65,5.062,1,3
2,5.813,5.399,0,3
3,6.032,5.859,0,3
4,6.269,6.106,0,3
5,6.378,6.248,0,3
6,8.218,8.062,0,3
7,8.298,8.158,0,3
8,9.936,9.974,0,3
9,10.15,10.316,0,3
10,10.415,10.581,0,3
11,10.581,10.773,0,3
12,10.892,10.892,0,3
13,11.201,11.384,0,3
14,11.582,11.827,0,3
15,11.872,12.195,0,3
16,12.008,12.392,0,3
17,12.029,12.661,-1,3
18,12.348,12.826,0,3
19,12.486,13.112,-1,3
20,13.049,13.463,0,3
21,13.463,13.608,0,3
22,13.587,14.079,0,3
23,13.939,14.158,0,3
24,14.02,14.507,0,3
25,14.119,15.864,-2,3
26,15.492,16.055,-1,3
27,15.752,16.151,0,3
28,15.818,17.492,-2,3
29,17.145,17.675,-1,3
30,17.343,17.799,0,3
31,17.514,17.996,0,3
32,17.654,18.207,-1,3
33,17.885,18.342,0,3
34,18.017,18.654,-1,3
35,18.41,19.003,-1,3
36,18.796,19.681,-1,3
37,19.464,19.832,0,3
38,19.658,20.167,-1,3
39,19.974,20.651,-1,3
40,20.492,20.769,0,3
41,20.65,21.053,0,3
42,20.889,23.0,-2,3
43,22.701,23.185,0,3
44,22.943,23.278,0,3
45,23.018,24.158,-1,3
46,24.014,24.324,0,3
47,24.213,24.653,0,3
48,24.635,24.972,0,3
49,24.875,25.389,-1,3
50,24.972,26.308,-1,3
51,25.941,26.42,0,3
52,26.198,N/A,N/A
