Checkpoint Number,Player,Computer,Gap
1,5.067,4.507,1,3
2,5.167,4.738,0,3
3,5.21,4.949,0,3
4,5.224,5.022,0,3
5,5.407,5.126,0,3
6,6.878,6.306,1,3
7,6.935,6.387,1,3
8,8.059,7.642,0,3
9,8.129,7.726,0,3
10,8.296,7.905,0,3
11,8.416,8.03,0,3
12,8.474,8.087,0,3
13,8.804,8.398,0,3
14,9.027,8.722,0,3
15,9.207,8.958,0,3
16,9.307,9.082,0,3
17,9.51,9.152,0,3
18,9.699,9.262,0,3
19,9.909,9.591,0,3
20,10.296,9.936,0,3
21,10.572,10.032,1,3
22,10.641,10.24,0,3
23,10.835,10.309,1,3
24,10.905,10.336,1,3
25,11.14,11.469,0,3
26,12.018,11.662,0,3
27,12.186,11.725,0,3
28,12.242,12.504,0,3
29,12.903,12.67,0,3
30,13.039,12.794,0,3
31,13.134,13.027,0,3
32,13.338,13.218,0,3
33,13.538,13.319,0,3
34,13.619,13.633,0,3
35,13.761,14.173,0,3
36,14.022,14.325,0,3
37,14.461,14.617,0,3
38,14.587,14.995,0,3
39,14.91,15.108,0,3
40,15.208,15.152,0,3
41,15.307,16.559,-1,3
42,15.359,16.708,-1,3
43,16.545,16.752,0,3
44,16.722,17.504,-1,3
45,16.781,17.672,-1,3
46,17.561,17.716,0,3
47,17.731,17.896,0,3
48,17.787,17.949,0,3
49,18.145,18.7,-1,3
50,18.356,18.811,0,3
51,19.058,N/A,N/A
52,19.265,N/A,N/A
