Checkpoint Number,Player,Computer,Gap
1,6.089,5.296,1,3
2,6.913,6.595,0,3
3,7.612,7.482,0,3
4,8.494,8.528,0,3
5,9.095,9.328,0,3
6,9.924,9.924,0,3
7,11.112,10.664,0,3
8,11.325,10.989,0,3
9,12.578,11.816,1,3
10,13.319,12.704,1,3
11,13.608,13.254,0,3
12,13.894,13.578,0,3
13,14.402,13.988,0,3
14,15.616,14.954,1,3
15,17.286,16.908,0,3
16,18.655,18.561,0,3
17,19.302,19.302,0,3
18,20.953,21.081,0,3
19,21.388,21.67,0,3
20,22.196,22.46,0,3
21,22.835,22.97,0,3
22,23.269,23.462,0,3
23,24.312,24.377,0,3
24,26.422,26.62,0,3
25,27.017,27.215,0,3
26,29.491,29.56,0,3
27,30.214,30.215,0,3
28,33.047,33.08,0,3
29,33.798,33.957,0,3
30,34.255,34.227,0,3
31,35.019,34.958,0,3
32,37.667,37.668,0,3
33,40.306,40.869,-1,3
34,41.159,41.508,0,3
35,44.197,44.851,-1,3
36,44.392,44.946,-1,3
