Checkpoint Number,Player,Computer,Gap
1,5.244,4.614,1,3
2,5.359,4.881,0,3
3,5.582,5.31,0,3
4,5.757,5.503,0,3
5,5.919,5.614,0,3
6,7.276,6.961,0,3
7,7.356,7.039,0,3
8,8.616,8.454,0,3
9,8.856,8.728,0,3
10,9.022,8.954,0,3
11,9.156,9.121,0,3
12,9.291,9.241,0,3
13,9.59,9.608,0,3
14,9.863,9.926,0,3
15,10.057,10.201,0,3
16,10.156,10.343,0,3
17,10.361,10.546,0,3
18,10.546,10.679,0,3
19,10.664,10.926,0,3
20,11.078,11.336,0,3
21,11.383,11.478,0,3
22,11.478,11.853,0,3
23,11.853,11.949,0,3
24,11.914,12.16,0,3
25,12.081,13.344,-1,3
26,13.077,13.578,-1,3
27,13.265,13.643,0,3
28,13.313,14.796,-1,3
29,14.303,14.989,-1,3
30,14.462,15.137,-1,3
31,14.571,15.314,-1,3
32,14.651,15.5,-1,3
33,14.796,15.613,-1,3
34,14.873,15.735,-1,3
35,15.087,16.06,-1,3
36,15.36,16.679,-1,3
37,15.889,16.855,-1,3
38,16.029,17.189,-1,3
39,16.218,17.586,-1,3
40,16.583,17.732,-1,3
41,16.694,17.871,-1,3
42,16.855,19.523,-3,3
43,18.331,19.683,-1,3
44,18.533,19.761,-1,3
45,18.611,20.535,-2,3
46,19.363,20.758,-1,3
47,19.555,21.047,-1,3
48,19.951,21.376,-1,3
49,20.149,21.726,-2,3
50,20.271,22.657,-2,3
51,21.047,22.796,-2,3
52,21.269,N/A,N/A
