Checkpoint Number,Player,Computer,Gap
1,6.831,5.938,1,3
2,7.43,7.209,0,3
3,10.143,10.294,0,3
4,10.836,11.068,0,3
5,11.484,11.522,0,3
6,12.064,12.139,0,3
7,13.475,13.669,0,3
8,14.098,14.364,0,3
9,14.523,14.523,0,3
10,16.409,16.68,0,3
11,17.011,17.285,0,3
12,19.589,20.007,0,3
13,20.119,20.461,0,3
14,21.847,22.261,0,3
15,21.885,22.632,-1,3
16,22.19,23.003,-1,3
17,22.591,24.808,-2,3
18,24.378,25.225,-1,3
19,24.923,26.868,-2,3
20,26.49,27.45,-1,3
21,27.057,28.548,-1,3
22,28.277,29.16,-1,3
23,29.124,30.272,-1,3
24,30.16,30.736,-1,3
25,30.7,31.594,-1,3
26,31.939,32.481,-1,3
27,32.673,34.556,-2,3
28,35.17,34.903,0,3
