Checkpoint Number,Player,Computer,Gap
1,9.002,8.567,0,3
2,9.593,9.508,0,3
3,10.323,10.522,0,3
4,10.929,11.086,0,3
5,11.865,12.166,0,3
6,12.519,12.993,0,3
7,13.783,14.366,-1,3
8,14.444,15.185,-1,3
9,15.691,16.616,-1,3
10,16.699,17.354,-1,3
11,17.277,18.399,-1,3
12,19.307,20.519,-1,3
13,20.764,21.659,-1,3
14,21.54,22.95,-1,3
15,23.143,24.492,-1,3
16,24.415,25.422,-1,3
17,25.845,26.507,-1,3
18,26.665,27.065,0,3
19,29.957,30.86,-1,3
20,30.938,31.676,-1,3
21,37.626,37.16,0,3
22,38.276,38.158,0,3
23,40.225,39.988,0,3
24,41.183,41.183,0,3
25,41.531,41.653,0,3
26,42.233,42.43,0,3
27,45.781,46.511,-1,3
