Checkpoint Number,Player,Computer,Gap
1,6.517,5.345,1,3
2,7.242,6.671,1,3
3,8.224,7.773,0,3
4,11.86,12.013,0,3
5,12.52,12.729,0,3
6,12.729,12.929,0,3
7,15.18,15.785,-1,3
8,19.659,19.14,1,3
9,20.476,20.368,0,3
10,21.247,21.349,0,3
11,22.009,21.45,1,3
12,22.628,21.811,1,3
13,23.63,22.418,1,3
14,24.76,22.792,2,3
15,27.557,26.365,1,3
16,28.306,27.825,0,3
17,32.602,32.451,0,3
18,34.209,33.015,1,3
19,34.708,33.684,1,3
20,35.818,33.991,2,3
21,36.433,35.231,1,3
22,40.27,39.423,1,3
23,40.957,40.596,0,3
24,41.327,41.156,0,3
25,41.948,41.986,0,3
26,42.596,42.676,0,3
27,43.2,43.34,0,3
28,43.246,44.699,-1,3
29,44.489,45.039,-1,3
30,45.039,45.276,0,3
31,45.788,45.867,0,3
32,46.411,50.561,-4,3
33,52.018,50.876,1,3
34,52.369,51.786,1,3
35,52.847,52.891,0,3
36,53.9,53.666,0,3
37,54.452,54.452,0,3
38,55.257,55.375,0,3
39,55.914,56.149,0,3
40,56.651,56.879,0,3
41,57.532,57.031,1,3
42,57.765,N/A,N/A
