Checkpoint Number,Player,Computer,Gap
1,6.289,5.532,1,3
2,6.319,5.561,1,3
3,6.771,6.519,0,3
4,7.438,7.323,0,3
5,9.32,9.411,0,3
6,10.04,10.193,0,3
7,10.391,10.56,0,3
8,10.56,10.874,0,3
9,11.542,11.718,0,3
10,11.947,12.257,0,3
11,12.491,12.818,0,3
12,13.283,13.434,0,3
13,13.848,14.124,0,3
14,14.093,14.326,0,3
15,16.899,17.406,-1,3
16,17.593,17.949,0,3
17,18.156,18.157,0,3
18,18.689,18.721,0,3
19,21.601,21.901,0,3
20,22.015,22.413,0,3
21,22.469,22.667,0,3
22,24.384,24.502,0,3
23,24.704,24.931,0,3
24,25.134,25.335,0,3
25,28.09,28.475,0,3
26,28.616,28.992,0,3
27,29.655,29.978,0,3
28,30.093,30.467,0,3
29,32.199,32.763,-1,3
30,32.968,33.394,0,3
31,N/A,33.814,N/A
