Checkpoint Number,Player,Computer,Gap
1,7.502,6.655,1,3
2,8.184,8.033,0,3
3,11.364,11.675,0,3
4,12.26,12.607,0,3
5,12.992,13.419,0,3
6,13.729,14.126,0,3
7,14.322,15.179,-1,3
8,15.102,15.682,-1,3
9,16.459,16.615,0,3
10,17.269,17.584,0,3
11,18.375,18.725,0,3
12,18.926,18.886,0,3
13,19.401,19.556,0,3
14,20.682,20.992,0,3
15,21.067,21.497,0,3
16,21.457,21.573,0,3
17,22.057,21.978,0,3
18,23.241,23.51,0,3
19,56.122,24.448,32,3
20,56.595,25.07,32,3
21,57.104,26.332,31,3
22,58.39,35.857,23,3
23,62.484,39.671,23,3
24,63.656,42.275,21,3
25,64.723,43.588,21,3
26,65.737,45.036,21,3
27,66.576,46.465,20,3
28,67.165,48.264,19,3
29,68.062,49.487,19,3
30,68.722,N/A,N/A
31,69.184,N/A,N/A
