Checkpoint Number,Player,Computer,Gap
1,7.493,5.237,2,3
2,8.198,6.948,1,3
3,8.805,8.025,1,3
4,9.697,9.009,1,3
5,10.234,9.777,0,3
6,10.704,10.287,0,3
7,15.283,10.927,4,3
8,15.481,11.18,4,3
9,16.997,11.929,5,3
10,17.59,12.711,5,3
11,17.886,13.755,4,3
12,17.996,14.327,4,3
13,18.475,15.114,3,3
14,19.743,16.522,3,3
15,21.221,19.287,2,3
16,22.444,21.706,1,3
17,22.969,22.776,0,3
18,24.501,24.393,0,3
19,24.97,24.884,0,3
20,25.656,25.689,0,3
21,26.164,26.134,0,3
22,26.582,26.607,0,3
23,33.138,27.437,6,3
24,35.399,29.461,6,3
25,35.93,30.841,5,3
26,38.046,35.093,3,3
27,38.579,36.295,2,3
28,40.852,40.852,0,3
29,41.511,41.624,0,3
30,41.759,41.9,0,3
31,42.472,42.536,0,3
32,44.619,44.849,0,3
33,46.838,47.576,-1,3
34,47.548,48.134,-1,3
35,50.317,50.347,0,3
36,50.482,50.427,0,3
