Checkpoint Number,Player,Computer,Gap
1,6.594,5.407,1,3
2,7.231,6.639,1,3
3,7.592,7.318,0,3
4,10.79,10.551,0,3
5,11.319,11.277,0,3
6,11.486,11.571,0,3
7,14.146,14.488,0,3
8,17.218,17.753,-1,3
9,17.875,18.508,-1,3
10,18.414,19.271,-1,3
11,19.558,19.364,0,3
12,20.172,20.089,0,3
13,20.612,20.612,0,3
14,20.792,20.835,0,3
15,23.698,23.442,0,3
16,24.261,24.309,0,3
17,27.705,28.022,0,3
18,28.826,28.723,0,3
19,29.323,29.323,0,3
20,29.525,29.572,0,3
21,30.326,33.299,-3,3
22,33.299,33.819,-1,3
23,33.956,34.793,-1,3
24,34.921,35.841,-1,3
25,35.841,35.929,0,3
26,35.885,36.673,-1,3
27,36.321,36.717,0,3
28,36.363,38.239,-2,3
29,38.198,38.569,0,3
30,38.61,38.859,0,3
31,38.902,45.695,-7,3
32,39.35,46.041,-7,3
33,45.237,46.785,-2,3
34,45.611,47.838,-2,3
35,46.082,48.418,-2,3
36,47.508,49.011,-2,3
37,51.891,49.836,2,3
38,52.403,50.819,2,3
39,53.159,51.764,1,3
40,54.198,51.987,2,3
41,55.15,N/A,N/A
42,55.445,N/A,N/A
