Checkpoint Number,Player,Computer,Gap
1,7.06,6.244,1,3
2,7.69,7.476,0,3
3,10.057,10.322,0,3
4,10.866,11.089,0,3
5,11.657,11.765,0,3
6,12.494,12.571,0,3
7,13.553,13.66,0,3
8,14.276,14.495,0,3
9,14.944,15.136,0,3
10,16.179,16.36,0,3
11,16.897,17.146,0,3
12,17.824,17.319,1,3
13,18.247,17.92,0,3
14,18.891,18.533,0,3
15,19.288,19.104,0,3
16,20.033,19.563,0,3
17,20.288,19.885,0,3
18,21.133,20.326,1,3
19,21.659,21.237,0,3
20,22.556,21.969,1,3
21,23.033,22.519,1,3
22,23.719,22.859,1,3
23,27.418,27.232,0,3
24,28.652,29.051,0,3
25,29.651,30.059,0,3
26,30.386,30.425,0,3
27,31.336,30.94,0,3
28,31.895,31.725,0,3
29,32.33,32.402,0,3
30,32.893,32.823,0,3
31,33.458,33.498,0,3
32,N/A,34.87,N/A
