Checkpoint Number,Player,Computer,Gap
1,7.745,6.389,1,3
2,8.472,8.095,0,3
3,11.529,11.256,0,3
4,12.305,12.351,0,3
5,13.674,13.232,0,3
6,14.405,14.029,0,3
7,15.579,15.249,0,3
8,16.16,16.119,0,3
9,17.421,16.538,1,3
10,19.357,17.846,2,3
11,19.936,18.681,1,3
12,29.643,22.709,7,3
13,30.352,24.205,6,3
14,32.408,29.236,3,3
15,32.46,30.203,2,3
16,32.845,31.358,1,3
17,33.475,34.055,-1,3
18,35.023,34.75,0,3
19,35.662,37.717,-2,3
20,55.507,38.239,17,3
21,56.166,39.906,16,3
22,57.308,42.199,15,3
23,58.226,46.702,12,3
24,60.147,48.279,12,3
25,60.744,50.371,10,3
26,62.365,53.954,8,3
27,63.209,61.443,2,3
28,66.9,62.859,4,3
