Checkpoint Number,Player,Computer,Gap
1,0.813,0.332,0,3
2,1.03,0.581,0,3
3,1.348,0.915,0,3
4,2.897,2.43,0,3
5,3.028,2.578,0,3
6,4.367,4.153,0,3
7,4.7,4.531,0,3
8,4.928,4.811,0,3
9,5.494,5.677,0,3
10,5.841,6.026,0,3
11,6.307,6.425,0,3
12,6.526,6.623,0,3
13,7.155,7.285,0,3
14,7.512,7.611,0,3
15,7.794,7.943,0,3
16,8.971,9.444,0,3
17,9.157,9.697,-1,3
18,10.297,10.95,-1,3
19,10.578,11.263,-1,3
20,10.799,11.525,-1,3
21,11.89,12.696,-1,3
22,12.153,13.028,-1,3
23,12.63,13.613,-1,3
24,12.849,13.876,-1,3
25,14.484,15.749,-1,3
26,14.664,15.961,-1,3
27,15.612,16.949,-1,3
28,15.996,17.313,-1,3
29,16.547,17.761,-1,3
30,17.365,18.768,-1,3
31,17.562,18.881,-1,3
