Checkpoint Number,Player,Computer,Gap
1,1.364,0.332,1,3
2,1.577,0.582,1,3
3,1.978,0.912,1,3
4,3.496,2.426,1,3
5,3.612,2.574,1,3
6,5.159,4.162,1,3
7,5.445,4.546,1,3
8,5.679,4.831,1,3
9,6.249,5.801,0,3
10,6.529,6.152,0,3
11,6.983,6.547,0,3
12,7.148,6.745,0,3
13,7.797,7.412,0,3
14,8.057,7.742,0,3
15,8.358,8.092,0,3
16,9.572,9.587,0,3
17,9.803,9.836,0,3
18,10.912,11.094,0,3
19,11.111,11.413,0,3
20,11.345,11.677,0,3
21,12.513,12.857,0,3
22,12.774,13.19,0,3
23,13.207,13.777,-1,3
24,13.393,14.046,-1,3
25,15.061,15.986,-1,3
26,15.248,16.215,-1,3
27,16.281,17.199,-1,3
28,16.596,17.566,-1,3
29,16.879,18.04,-1,3
30,17.783,19.035,-1,3
31,17.988,19.151,-1,3
