Checkpoint Number,Player,Computer,Gap
1,2.566,0.686,2,3
2,3.426,1.605,2,3
3,4.226,2.499,2,3
4,5.164,3.69,1,3
5,6.201,5.121,1,3
6,7.121,6.154,1,3
7,7.991,7.02,1,3
8,8.29,7.802,0,3
9,8.89,8.985,0,3
10,9.623,9.81,0,3
11,9.968,10.475,-1,3
12,10.507,11.008,-1,3
13,10.975,11.637,-1,3
14,12.219,12.897,-1,3
15,13.88,14.858,-1,3
16,15.33,16.453,-1,3
17,16.245,17.594,-1,3
18,17.944,19.309,-1,3
19,18.577,20.035,-1,3
20,19.042,21.019,-2,3
21,20.097,21.834,-2,3
22,20.542,22.41,-2,3
23,21.176,23.217,-2,3
24,23.632,25.118,-1,3
25,24.373,25.914,-2,3
26,26.384,27.848,-1,3
27,27.014,28.829,-2,3
28,29.698,31.365,-2,3
29,30.606,32.175,-2,3
30,30.997,32.509,-2,3
31,31.772,33.363,-2,3
32,34.767,36.206,-1,3
33,37.442,38.838,-1,3
34,38.139,39.763,-2,3
35,41.314,42.839,-2,3
36,41.526,42.967,-1,3
