Checkpoint Number,Player,Computer,Gap
1,0.847,0.332,1,3
2,1.06,0.581,0,3
3,1.426,0.911,1,3
4,2.991,2.422,1,3
5,3.124,2.575,1,3
6,4.486,4.154,0,3
7,4.806,4.536,0,3
8,5.037,4.822,0,3
9,5.485,5.683,0,3
10,5.827,6.027,0,3
11,6.293,6.423,0,3
12,6.538,6.619,0,3
13,7.184,7.283,0,3
14,7.566,7.613,0,3
15,7.827,7.943,0,3
16,8.99,9.442,0,3
17,9.356,9.686,0,3
18,10.445,10.939,0,3
19,10.743,11.246,-1,3
20,11.197,11.509,0,3
21,12.216,12.676,0,3
22,12.48,13.005,-1,3
23,12.857,13.586,-1,3
24,13.106,13.857,-1,3
25,14.752,15.768,-1,3
26,14.913,15.999,-1,3
27,15.949,16.968,-1,3
28,16.331,17.326,-1,3
29,16.595,17.786,-1,3
30,17.389,18.778,-1,3
31,17.604,18.892,-1,3
