Checkpoint Number,Player,Computer,Gap
1,1.427,0.537,1,3
2,1.981,1.19,1,3
3,3.193,2.581,1,3
4,3.54,2.991,1,3
5,3.789,3.291,0,3
6,3.967,3.476,0,3
7,4.254,3.808,0,3
8,4.503,4.115,0,3
9,5.017,4.523,0,3
10,5.418,4.921,0,3
11,5.843,5.356,0,3
12,6.173,5.728,0,3
13,6.425,6.038,0,3
14,6.571,6.322,0,3
15,6.855,6.635,0,3
16,7.296,6.799,0,3
17,9.826,9.87,0,3
18,10.185,10.204,0,3
19,10.302,10.322,0,3
20,11.505,11.855,0,3
21,11.874,12.292,0,3
22,12.072,12.745,-1,3
23,12.47,13.168,-1,3
24,13.071,13.823,-1,3
25,14.992,14.186,1,3
26,15.13,14.615,1,3
27,15.352,14.875,0,3
28,16.945,16.625,0,3
29,17.277,16.983,0,3
30,18.502,18.349,0,3
31,18.865,18.806,0,3
32,19.292,19.437,0,3
33,20.619,21.157,-1,3
34,21.077,21.757,-1,3
35,21.473,22.108,-1,3
36,21.876,22.349,0,3
37,22.068,22.623,-1,3
38,23.73,24.373,-1,3
39,24.117,24.794,-1,3
40,25.525,26.401,-1,3
41,25.733,26.884,-1,3
42,26.07,27.308,-1,3
43,34.157,N/A,N/A
