Checkpoint Number,Player,Computer,Gap
1,2.546,0.696,2,3
2,3.462,1.621,2,3
3,4.259,2.704,2,3
4,5.345,4.192,1,3
5,6.264,5.412,1,3
6,7.198,6.52,1,3
7,8.288,7.387,1,3
8,8.728,8.161,1,3
9,9.501,9.337,0,3
10,10.342,10.18,0,3
11,10.763,10.829,0,3
12,11.429,11.365,0,3
13,12.236,11.978,0,3
14,13.317,13.221,0,3
15,14.992,15.212,0,3
16,16.429,16.933,-1,3
17,17.506,18.079,-1,3
18,19.187,20.005,-1,3
19,19.658,20.753,-1,3
20,20.487,21.745,-1,3
21,21.429,22.811,-1,3
22,22.012,23.409,-1,3
23,22.778,24.25,-1,3
24,25.231,26.439,-1,3
25,25.906,27.284,-1,3
26,28.494,29.528,-1,3
27,29.177,30.569,-1,3
28,32.135,33.38,-1,3
29,32.979,34.329,-1,3
30,33.48,34.681,-1,3
31,34.231,35.524,-1,3
32,37.327,38.433,-1,3
33,39.937,41.216,-1,3
34,40.739,42.135,-1,3
35,43.952,45.311,-1,3
36,44.154,45.442,-1,3
