Checkpoint Number,Player,Computer,Gap
1,1.139,0.323,1,3
2,1.352,0.573,1,3
3,1.681,0.901,1,3
4,3.241,2.428,1,3
5,3.376,2.575,1,3
6,4.673,4.163,1,3
7,5.021,4.54,0,3
8,5.261,4.822,0,3
9,5.824,5.688,0,3
10,6.174,6.036,0,3
11,6.678,6.437,0,3
12,6.874,6.643,0,3
13,7.528,7.309,0,3
14,7.908,7.645,0,3
15,8.181,7.974,0,3
16,9.391,9.473,0,3
17,9.656,9.719,0,3
18,10.731,10.965,0,3
19,11.096,11.278,0,3
20,11.456,11.538,0,3
21,12.481,12.714,0,3
22,12.748,13.048,0,3
23,13.24,13.633,0,3
24,13.534,13.899,0,3
25,15.158,15.826,-1,3
26,15.356,16.056,-1,3
27,16.341,17.038,-1,3
28,16.773,17.404,-1,3
29,17.12,17.866,-1,3
30,17.933,18.861,-1,3
31,18.149,18.978,-1,3
