Checkpoint Number,Player,Computer,Gap
1,1.621,0.667,1,3
2,2.241,1.449,1,3
3,5.188,2.1,3,3
4,6.23,2.937,3,3
5,7.058,4.214,3,3
6,7.563,6.292,1,3
7,8.644,7.722,1,3
8,8.994,8.518,0,3
9,10.107,9.672,0,3
10,10.876,10.527,0,3
11,11.186,11.186,0,3
12,11.692,11.723,0,3
13,12.341,12.341,0,3
14,13.317,13.597,0,3
15,15.13,15.642,-1,3
16,16.611,17.379,-1,3
17,17.79,18.543,-1,3
18,19.505,20.588,-1,3
19,20.519,21.35,-1,3
20,21.854,22.354,0,3
21,23.224,23.417,0,3
22,23.701,24.019,0,3
23,24.345,24.856,-1,3
24,26.676,27.319,-1,3
25,27.415,28.042,-1,3
26,30.374,30.541,0,3
27,31.263,31.561,0,3
28,34.0,34.607,-1,3
29,34.828,35.599,-1,3
30,35.503,35.945,0,3
31,36.261,36.818,-1,3
32,39.588,40.02,0,3
33,42.277,43.034,-1,3
34,42.762,43.972,-1,3
35,45.973,47.232,-1,3
36,46.176,47.36,-1,3
