Checkpoint Number,Player,Computer,Gap
1,1.225,0.327,1,3
2,1.437,0.575,1,3
3,1.787,0.909,1,3
4,3.278,2.414,1,3
5,3.41,2.563,1,3
6,4.771,4.137,1,3
7,5.051,4.516,1,3
8,5.282,4.802,0,3
9,5.905,5.661,0,3
10,6.186,6.004,0,3
11,6.677,6.406,0,3
12,6.841,6.606,0,3
13,7.465,7.268,0,3
14,7.796,7.601,0,3
15,8.062,7.93,0,3
16,9.157,9.425,0,3
17,9.359,9.667,0,3
18,10.525,10.911,0,3
19,10.811,11.225,0,3
20,11.309,11.49,0,3
21,12.313,12.663,0,3
22,12.595,13.015,0,3
23,12.999,13.593,-1,3
24,13.283,13.858,-1,3
25,14.896,15.774,-1,3
26,15.06,16.006,-1,3
27,16.087,16.99,-1,3
28,16.582,17.355,-1,3
29,17.138,17.821,-1,3
30,17.954,18.814,-1,3
31,18.168,18.929,-1,3
