Checkpoint Number,Player,Computer,Gap
1,2.969,0.51,2,3
2,3.633,1.192,2,3
3,4.178,1.838,2,3
4,4.919,2.65,2,3
5,5.63,4.016,2,3
6,6.252,5.282,1,3
7,6.895,6.019,1,3
8,7.175,6.67,1,3
9,7.699,7.581,0,3
10,8.189,8.213,0,3
11,8.75,8.681,0,3
12,9.088,9.088,0,3
13,9.585,9.56,0,3
14,10.26,10.487,0,3
15,11.488,11.956,0,3
16,12.553,13.231,-1,3
17,13.207,14.066,-1,3
18,14.418,15.602,-1,3
19,14.748,16.174,-1,3
20,15.672,16.921,-1,3
21,16.345,17.741,-1,3
22,16.704,18.189,-1,3
23,17.177,18.815,-2,3
24,18.958,20.415,-1,3
25,19.399,20.968,-2,3
26,21.271,22.617,-1,3
27,21.914,23.36,-1,3
28,24.001,25.241,-1,3
29,24.619,25.96,-1,3
30,25.013,26.22,-1,3
31,25.449,26.882,-1,3
32,27.69,28.948,-1,3
33,29.942,30.972,-1,3
34,30.255,31.672,-1,3
35,32.71,33.956,-1,3
36,32.861,34.05,-1,3
