Checkpoint Number,Player,Computer,Gap
1,1.178,0.329,1,3
2,1.393,0.584,1,3
3,1.757,0.913,1,3
4,3.321,2.415,1,3
5,3.449,2.563,1,3
6,4.8,4.134,1,3
7,5.094,4.513,1,3
8,5.325,4.8,1,3
9,5.927,5.66,0,3
10,6.174,6.007,0,3
11,6.655,6.407,0,3
12,6.867,6.604,0,3
13,7.529,7.264,0,3
14,7.759,7.594,0,3
15,8.055,7.923,0,3
16,9.287,9.42,0,3
17,9.552,9.663,0,3
18,10.622,10.9,0,3
19,10.884,11.216,0,3
20,11.319,11.483,0,3
21,12.345,12.654,0,3
22,12.621,12.985,0,3
23,12.953,13.56,-1,3
24,13.099,13.824,-1,3
25,14.737,15.747,-1,3
26,14.9,15.982,-1,3
27,15.863,16.957,-1,3
28,16.311,17.32,-1,3
29,16.761,17.777,-1,3
30,17.566,18.762,-1,3
31,17.793,18.876,-1,3
