Checkpoint Number,Player,Computer,Gap
1,8.328,0.322,8,3
2,8.524,0.571,8,3
3,8.991,0.888,8,3
4,10.183,2.337,8,3
5,10.289,2.627,8,3
6,11.389,7.339,4,3
7,11.543,8.138,3,3
8,11.756,8.682,3,3
9,12.331,10.276,2,3
10,12.507,10.971,2,3
11,12.892,11.741,1,3
12,13.113,12.185,1,3
13,13.565,12.828,1,3
14,13.733,13.164,1,3
15,13.961,13.469,0,3
16,14.923,14.862,0,3
17,15.117,15.084,0,3
18,15.988,16.296,0,3
19,16.154,16.583,0,3
20,16.392,16.839,0,3
21,17.262,17.916,-1,3
22,17.484,18.259,-1,3
23,17.714,18.814,-1,3
24,17.852,19.061,-1,3
25,19.172,20.681,-2,3
26,19.32,20.901,-2,3
27,20.065,21.704,-2,3
28,20.287,22.036,-2,3
29,20.652,22.392,-2,3
30,21.34,23.31,-2,3
31,21.495,23.441,-2,3
