Checkpoint Number,Player,Computer,Gap
1,1.829,0.358,1,3
2,1.945,0.52,1,3
3,2.128,0.783,1,3
4,2.36,0.979,1,3
5,2.593,1.095,1,3
6,3.944,2.661,1,3
7,4.012,2.758,1,3
8,5.42,4.329,1,3
9,5.636,4.589,1,3
10,5.803,4.806,1,3
11,5.92,5.074,1,3
12,6.204,5.42,1,3
13,6.416,5.72,1,3
14,6.678,6.05,1,3
15,6.895,6.313,1,3
16,7.11,6.467,1,3
17,7.281,6.564,1,3
18,7.494,6.813,1,3
19,7.675,6.945,1,3
20,8.089,7.349,1,3
21,8.415,7.758,1,3
22,8.566,7.924,1,3
23,8.83,8.287,1,3
24,8.914,8.367,1,3
25,8.931,8.732,0,3
26,9.943,9.911,0,3
27,10.141,10.157,0,3
28,10.19,10.223,0,3
29,11.256,11.424,0,3
30,11.424,11.623,0,3
31,11.543,11.772,0,3
32,11.64,11.957,0,3
33,11.837,12.152,0,3
34,12.068,12.27,0,3
35,12.337,12.549,0,3
36,12.597,12.865,0,3
37,13.125,13.506,0,3
38,13.296,13.687,0,3
39,13.357,13.947,-1,3
40,13.72,14.347,-1,3
41,13.836,14.498,-1,3
42,14.03,14.649,-1,3
43,15.539,16.44,-1,3
44,15.757,16.673,-1,3
45,15.826,16.757,-1,3
46,16.841,17.784,-1,3
47,17.04,18.017,-1,3
48,17.325,18.252,-1,3
49,17.539,18.551,-1,3
50,17.669,18.863,-1,3
51,18.484,19.813,-1,3
52,18.718,19.959,-1,3
