Checkpoint Number,Player,Computer,Gap
1,1.912,0.704,1,3
2,2.757,1.628,1,3
3,3.463,2.569,1,3
4,4.35,3.618,1,3
5,5.373,4.732,1,3
6,6.164,5.785,0,3
7,7.246,6.638,1,3
8,7.751,7.403,0,3
9,8.712,8.585,0,3
10,9.514,9.452,0,3
11,9.856,10.087,0,3
12,10.451,10.644,0,3
13,11.014,11.327,0,3
14,12.222,12.613,0,3
15,13.892,14.615,-1,3
16,15.317,16.315,-1,3
17,16.315,17.474,-1,3
18,17.979,19.237,-1,3
19,18.478,19.989,-2,3
20,19.573,20.914,-1,3
21,20.479,21.945,-1,3
22,20.945,22.527,-2,3
23,21.81,23.353,-2,3
24,24.258,25.493,-1,3
25,24.89,26.304,-1,3
26,27.326,28.392,-1,3
27,28.063,29.371,-1,3
28,30.806,32.073,-1,3
29,31.647,33.061,-1,3
30,32.363,33.389,-1,3
31,33.351,34.355,-1,3
32,36.67,37.495,-1,3
33,39.373,40.31,-1,3
34,40.077,41.273,-1,3
35,42.879,44.357,-1,3
36,43.08,44.488,-1,3
