Checkpoint Number,Player,Computer,Gap
1,6.698,0.951,6,3
2,7.561,1.116,6,3
3,8.386,2.062,6,3
4,9.481,3.943,6,3
5,10.147,6.217,4,3
6,10.931,8.591,2,3
7,11.852,10.702,1,3
8,17.485,12.074,5,3
9,18.652,12.854,6,3
10,19.012,15.014,4,3
11,19.758,16.719,3,3
12,20.215,18.067,2,3
13,20.759,19.209,2,3
14,21.869,20.434,1,3
15,34.083,21.566,13,3
16,35.716,23.82,12,3
17,36.844,27.565,9,3
18,38.574,30.03,9,3
19,39.111,34.397,5,3
20,40.07,35.858,4,3
21,40.987,37.733,3,3
22,41.448,39.707,2,3
23,42.207,40.954,1,3
24,44.539,41.944,3,3
25,45.221,44.9,0,3
26,50.035,45.827,4,3
27,50.664,49.538,1,3
28,59.115,51.073,8,3
29,60.017,57.167,3,3
30,60.775,59.287,1,3
31,61.556,60.222,1,3
32,66.533,61.265,5,3
33,74.626,64.628,10,3
34,75.146,75.363,0,3
35,84.401,76.326,8,3
36,84.8,85.271,0,3
