Checkpoint Number,Player,Computer,Gap
1,1.41,0.553,1,3
2,1.979,1.223,1,3
3,3.222,2.647,1,3
4,3.61,3.077,1,3
5,3.87,3.391,0,3
6,4.099,3.59,1,3
7,4.376,3.927,0,3
8,4.64,4.217,0,3
9,4.95,4.62,0,3
10,5.248,5.028,0,3
11,5.456,5.477,0,3
12,5.825,5.865,0,3
13,6.056,6.174,0,3
14,6.327,6.464,0,3
15,6.561,6.781,0,3
16,6.739,6.955,0,3
17,9.184,9.777,-1,3
18,9.542,10.095,-1,3
19,9.735,10.208,0,3
20,10.782,11.754,-1,3
21,11.163,12.182,-1,3
22,11.321,12.613,-1,3
23,11.56,13.052,-1,3
24,12.221,13.72,-1,3
25,12.496,14.09,-2,3
26,12.838,14.51,-2,3
27,13.131,14.774,-2,3
28,14.58,16.371,-2,3
29,14.946,16.753,-2,3
30,16.08,18.127,-2,3
31,16.474,18.501,-2,3
32,16.887,19.053,-2,3
33,18.325,20.272,-2,3
34,18.827,20.855,-2,3
35,19.208,21.156,-2,3
36,19.63,21.412,-2,3
37,21.027,21.671,-1,3
38,22.715,23.439,-1,3
39,23.127,23.875,-1,3
40,24.443,25.525,-1,3
41,24.753,26.047,-1,3
42,24.989,26.5,-2,3
43,26.948,N/A,N/A
