Checkpoint Number,Player,Computer,Gap
1,2.271,0.945,1,3
2,3.203,2.127,1,3
3,5.405,4.708,1,3
4,6.014,5.768,0,3
5,6.466,6.29,0,3
6,6.925,6.608,0,3
7,7.404,7.201,0,3
8,7.821,7.713,0,3
9,8.486,8.414,0,3
10,9.029,9.143,0,3
11,9.609,9.918,0,3
12,10.175,10.588,0,3
13,12.482,11.129,1,3
14,15.407,11.65,4,3
15,15.887,12.173,4,3
16,16.836,12.482,4,3
17,21.448,19.229,2,3
18,21.964,20.54,1,3
19,22.321,20.976,1,3
20,24.647,23.881,1,3
21,25.477,24.991,0,3
22,25.511,25.743,0,3
23,25.846,26.548,-1,3
24,26.945,27.714,-1,3
25,27.47,28.353,-1,3
26,27.965,29.149,-1,3
27,28.462,29.584,-1,3
28,31.111,32.195,-1,3
29,31.712,32.852,-1,3
30,33.826,34.816,-1,3
31,34.513,35.561,-1,3
32,35.325,36.706,-1,3
33,37.754,39.087,-1,3
34,38.662,40.063,-1,3
35,39.261,40.655,-1,3
36,39.921,41.154,-1,3
37,40.277,41.569,-1,3
38,43.057,44.303,-1,3
39,43.699,45.011,-1,3
40,45.907,47.331,-1,3
41,46.493,48.164,-2,3
42,47.223,48.992,-2,3
43,50.464,52.038,-2,3
44,50.916,52.311,-1,3
