Checkpoint Number,Player,Computer,Gap
1,0.822,0.334,0,3
2,1.039,0.581,0,3
3,1.387,0.923,0,3
4,2.979,2.442,1,3
5,3.095,2.591,1,3
6,4.52,4.186,0,3
7,4.801,4.567,0,3
8,6.075,4.851,1,3
9,9.832,5.715,4,3
10,10.083,6.06,4,3
11,10.552,6.459,4,3
12,10.722,6.659,4,3
13,11.333,7.324,4,3
14,11.651,7.954,4,3
15,11.919,8.616,3,3
16,12.973,11.086,2,3
17,13.173,11.552,2,3
18,14.226,13.487,1,3
19,14.424,13.806,1,3
20,14.675,14.276,0,3
21,15.857,15.357,0,3
22,16.205,15.69,1,3
23,16.422,16.286,0,3
24,16.57,16.57,0,3
25,18.241,18.508,0,3
26,18.443,18.725,0,3
27,19.457,19.708,0,3
28,19.827,20.075,0,3
29,20.106,20.523,0,3
30,20.909,21.544,-1,3
31,21.144,21.657,-1,3
