Checkpoint Number,Player,Computer,Gap
1,1.33,0.487,1,3
2,1.942,1.176,1,3
3,2.502,1.849,1,3
4,3.118,2.657,0,3
5,3.894,3.463,0,3
6,4.669,4.241,0,3
7,5.125,4.871,0,3
8,5.381,5.429,0,3
9,5.782,6.308,-1,3
10,6.283,6.922,-1,3
11,6.534,7.376,-1,3
12,6.922,7.78,-1,3
13,7.491,8.22,-1,3
14,8.31,9.127,-1,3
15,9.549,10.579,-1,3
16,10.578,11.862,-1,3
17,11.241,12.746,-2,3
18,12.495,14.282,-2,3
19,25.38,14.834,11,3
20,27.606,15.553,12,3
21,28.359,16.326,12,3
22,28.754,17.3,11,3
23,29.346,18.527,11,3
24,32.897,22.749,10,3
25,33.395,24.038,9,3
26,35.212,27.884,7,3
27,35.837,29.398,6,3
28,37.989,34.663,3,3
29,38.843,36.277,3,3
30,39.291,36.933,2,3
31,39.386,38.117,1,3
32,41.649,40.931,1,3
33,43.667,43.723,0,3
34,44.192,44.443,0,3
35,46.277,46.958,-1,3
36,46.427,47.061,-1,3
